2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Australia,i,107148,127877,119080,123411,146441,161734,176205,189490,203874,219400,202212,206362,235993,244849,233908,223654
Austria,i,65954,74786,86144,93341,104246,97995,82899,91546,94368,91660,96896,109921,125605,135228,154260,198658
Belgium,i,57295,65974,70230,68800,72446,77411,83433,93387,106012,102714,113582,117948,128948,117595,123569,149155
Canada,i,227455,250640,228919,221349,235822,262244,251641,236751,247242,252170,280686,248701,257763,259034,260283,271808
Chile,,18741,28924,29942,29835,32099,38149,48516,79377,68380,57059,63920,76337,105088,132140,137972,166469
Czechia,i,4227,11323,43648,57438,50804,58576,66125,102511,76151,38199,28046,20673,28607,27843,38490,31589
Denmark,i,22766,24642,21485,18385,18706,20146,23979,31430,37018,31957,33442,34572,35490,41342,49039,57101
Finland,i,9110,11037,9972,9432,11511,12744,13868,17504,19906,18087,18212,20416,23334,23873,23647,21414
France,i,91875,106877,124232,136370,141554,135866,228693,213652,216033,211387,221784,228055,247036,256516,255730,252643
Germany,i,648846,685259,658341,601759,602182,579301,558467,574752,573815,606314,683529,841695,965908,1108068,1342529,2016241
Hungary,i,20184,20308,17972,19365,22164,25582,23569,22607,35547,25582,23884,22514,20340,21250,26004,25787
Iceland,,2462,2515,1855,1353,2512,4680,7070,9318,7471,3392,2988,2754,2827,3932,4348,4963
Ireland,i,27800,32700,39900,42400,41800,66100,88900,120400,89700,50700,23900,33700,32100,40200,49000,57200
Israel,,60201,43473,33570,23273,20899,21183,19269,18131,13701,14574,16633,16892,16558,16884,24112,27908
Italy,i,192557,172836,161914,424856,394756,282780,254588,515201,496549,406725,424499,354327,321305,279021,248360,250465
Japan,i,345779,351187,343811,373918,371983,372329,325621,336646,344509,297092,287071,266867,303926,306742,336525,391160
Democratic People's Republic of Korea,i,173071,163898,158941,168875,178530,253729,302963,300360,302174,232844,293070,307249,300177,360473,407063,372935
Luxembourg,i,10792,11055,10988,12554,12245,13759,13731,15766,16801,14635,15814,19108,19439,19797,21024,22608
Mexico,i,6414,8053,5828,6945,8513,9172,6874,7186,15913,23852,26180,21992,18153,62990,43481,34406
Netherlands,i,91383,94507,86619,73566,65121,63415,67657,80258,103356,104410,110235,118457,115678,122321,139348,159483
New Zealand,i,37457,54052,70533,64969,55410,54798,58714,59603,63910,60326,57618,60997,62045,67509,80289,91767
Norway,i,27785,25412,30788,26787,27864,31355,37425,53498,58820,56682,65065,70759,70012,66934,61429,59068
Poland,i,15897,21466,30243,30325,36851,38512,34210,40637,41834,41277,41061,41336,47131,46614,31977,86087
Portugal,i,15932,151433,71974,31754,34096,28092,22457,32599,72826,61445,50747,45369,38537,33246,35265,37851
Slovakia,i,4622,4723,4784,4562,7919,7665,11309,14848,16470,14438,12659,8224,2940,2475,2418,3774
Spain,i,330881,394048,443085,429524,645844,682711,802971,920534,567372,365367,330286,335893,272489,248350,264485,291387
Sweden,i,42216,43833,47603,47988,47580,51297,80398,83536,83318,83763,79036,75852,82597,95361,106100,113868
Switzerland,i,87448,101353,101876,94049,96270,94357,102657,139685,157271,132444,134171,142471,143783,155401,152106,150432
United Kingdom of Great Britain and Northern Ireland,i,260424,262239,288770,327405,434322,405111,451702,455000,456000,430000,459000,453000,383000,406000,504000,479000
United States of America,i,841002,1058902,1059356,703542,957883,1122257,1266129,1052415,1107126,1130818,1042625,1062040,1031631,990553,1016518,1051031